,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
285178,5,Prevalence,4743,European Union,1,Male,25,50-69 years,465,Ovarian cancer,3,Rate,1990,0.0,0.0,0.0
285179,5,Prevalence,4743,European Union,2,Female,25,50-69 years,465,Ovarian cancer,3,Rate,1990,156.9449076371419,162.56304490437498,137.6328518604806
285177,5,Prevalence,4743,European Union,2,Female,25,50-69 years,465,Ovarian cancer,2,Percent,1990,0.0015718318859022,0.001628481316478,0.0013783394934232
285176,5,Prevalence,4743,European Union,1,Male,25,50-69 years,465,Ovarian cancer,2,Percent,1990,0.0,0.0,0.0
285175,5,Prevalence,4743,European Union,2,Female,25,50-69 years,465,Ovarian cancer,1,Number,1990,85245.32375413472,88296.83996737638,74755.8948722141
285174,5,Prevalence,4743,European Union,1,Male,25,50-69 years,465,Ovarian cancer,1,Number,1990,0.0,0.0,0.0
284814,5,Prevalence,4743,European Union,1,Male,19,70-74 years,465,Ovarian cancer,1,Number,1990,0.0,0.0,0.0
284815,5,Prevalence,4743,European Union,2,Female,19,70-74 years,465,Ovarian cancer,1,Number,1990,12179.269473056944,12869.02946368888,11221.940473032008
284816,5,Prevalence,4743,European Union,1,Male,19,70-74 years,465,Ovarian cancer,2,Percent,1990,0.0,0.0,0.0
284817,5,Prevalence,4743,European Union,2,Female,19,70-74 years,465,Ovarian cancer,2,Percent,1990,0.0014397091082209,0.0015211844773328,0.0013266966988953
284818,5,Prevalence,4743,European Union,1,Male,19,70-74 years,465,Ovarian cancer,3,Rate,1990,0.0,0.0,0.0
284819,5,Prevalence,4743,European Union,2,Female,19,70-74 years,465,Ovarian cancer,3,Rate,1990,143.90788933680733,152.05795980042635,132.59627527824048
284995,5,Prevalence,4743,European Union,2,Female,23,5-14 years,465,Ovarian cancer,1,Number,1990,952.8123856915992,1134.6141523866816,829.9223221214268
284996,5,Prevalence,4743,European Union,1,Male,23,5-14 years,465,Ovarian cancer,2,Percent,1990,0.0,0.0,0.0
284997,5,Prevalence,4743,European Union,2,Female,23,5-14 years,465,Ovarian cancer,2,Percent,1990,3.4732167914527354e-05,4.13379458400614e-05,3.009485047024726e-05
284998,5,Prevalence,4743,European Union,1,Male,23,5-14 years,465,Ovarian cancer,3,Rate,1990,0.0,0.0,0.0
284999,5,Prevalence,4743,European Union,2,Female,23,5-14 years,465,Ovarian cancer,3,Rate,1990,3.0796106186383287,3.667217013778747,2.6824143286035995
284994,5,Prevalence,4743,European Union,1,Male,23,5-14 years,465,Ovarian cancer,1,Number,1990,0.0,0.0,0.0
283556,5,Prevalence,4743,European Union,1,Male,12,35-39 years,465,Ovarian cancer,2,Percent,1990,0.0,0.0,0.0
283557,5,Prevalence,4743,European Union,2,Female,12,35-39 years,465,Ovarian cancer,2,Percent,1990,0.0005322444378952,0.0005681986332798,0.000457814444176
283558,5,Prevalence,4743,European Union,1,Male,12,35-39 years,465,Ovarian cancer,3,Rate,1990,0.0,0.0,0.0
283559,5,Prevalence,4743,European Union,2,Female,12,35-39 years,465,Ovarian cancer,3,Rate,1990,53.04470103521842,56.61067754636295,45.63686892323323
283734,5,Prevalence,4743,European Union,1,Male,13,40-44 years,465,Ovarian cancer,1,Number,1990,0.0,0.0,0.0
283735,5,Prevalence,4743,European Union,2,Female,13,40-44 years,465,Ovarian cancer,1,Number,1990,14013.73890206886,14879.369344551867,11574.252403778708
283736,5,Prevalence,4743,European Union,1,Male,13,40-44 years,465,Ovarian cancer,2,Percent,1990,0.0,0.0,0.0
283737,5,Prevalence,4743,European Union,2,Female,13,40-44 years,465,Ovarian cancer,2,Percent,1990,0.0008549860293311,0.0009079057480815,0.0007068319818415
283738,5,Prevalence,4743,European Union,1,Male,13,40-44 years,465,Ovarian cancer,3,Rate,1990,0.0,0.0,0.0
283739,5,Prevalence,4743,European Union,2,Female,13,40-44 years,465,Ovarian cancer,3,Rate,1990,85.30574513823109,90.57509191473255,70.45587424042428
283914,5,Prevalence,4743,European Union,1,Male,14,45-49 years,465,Ovarian cancer,1,Number,1990,0.0,0.0,0.0
283555,5,Prevalence,4743,European Union,2,Female,12,35-39 years,465,Ovarian cancer,1,Number,1990,9074.254959766988,9684.27970137467,7807.011371407946
283554,5,Prevalence,4743,European Union,1,Male,12,35-39 years,465,Ovarian cancer,1,Number,1990,0.0,0.0,0.0
327298,6,Incidence,4743,European Union,2,Female,8,15-19 years,465,Ovarian cancer,1,Number,1990,256.9281369727528,282.86784126152696,220.89851315846283
327297,6,Incidence,4743,European Union,1,Male,8,15-19 years,465,Ovarian cancer,1,Number,1990,0.0,0.0,0.0
283194,5,Prevalence,4743,European Union,1,Male,10,25-29 years,465,Ovarian cancer,1,Number,1990,0.0,0.0,0.0
283195,5,Prevalence,4743,European Union,2,Female,10,25-29 years,465,Ovarian cancer,1,Number,1990,4486.121338077076,4797.513196212004,4056.542875700117
283196,5,Prevalence,4743,European Union,1,Male,10,25-29 years,465,Ovarian cancer,2,Percent,1990,0.0,0.0,0.0
283197,5,Prevalence,4743,European Union,2,Female,10,25-29 years,465,Ovarian cancer,2,Percent,1990,0.0002471457959647,0.0002641392711096,0.0002232447123187
283198,5,Prevalence,4743,European Union,1,Male,10,25-29 years,465,Ovarian cancer,3,Rate,1990,0.0,0.0,0.0
283199,5,Prevalence,4743,European Union,2,Female,10,25-29 years,465,Ovarian cancer,3,Rate,1990,24.48250857371302,26.18189502852536,22.13813186259748
327122,6,Incidence,4743,European Union,2,Female,1,<5 years,465,Ovarian cancer,3,Rate,1990,0.0,0.0,0.0
327121,6,Incidence,4743,European Union,1,Male,1,<5 years,465,Ovarian cancer,3,Rate,1990,0.0,0.0,0.0
327120,6,Incidence,4743,European Union,2,Female,1,<5 years,465,Ovarian cancer,2,Percent,1990,0.0,0.0,0.0
283915,5,Prevalence,4743,European Union,2,Female,14,45-49 years,465,Ovarian cancer,1,Number,1990,18386.10786627441,19606.46894091148,15243.350177334476
327119,6,Incidence,4743,European Union,1,Male,1,<5 years,465,Ovarian cancer,2,Percent,1990,0.0,0.0,0.0
327117,6,Incidence,4743,European Union,1,Male,1,<5 years,465,Ovarian cancer,1,Number,1990,0.0,0.0,0.0
283374,5,Prevalence,4743,European Union,1,Male,11,30-34 years,465,Ovarian cancer,1,Number,1990,0.0,0.0,0.0
283375,5,Prevalence,4743,European Union,2,Female,11,30-34 years,465,Ovarian cancer,1,Number,1990,5679.901379458638,6103.549616069966,4940.020321283232
283376,5,Prevalence,4743,European Union,1,Male,11,30-34 years,465,Ovarian cancer,2,Percent,1990,0.0,0.0,0.0
